path,type,description,uploadedAt
https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Minkowski_diagram_-_symmetric.png/640px-Minkowski_diagram_-_symmetric.png,img,"Math diagram","2025-07-01T10:00:00"
https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Newton-reciproka.svg/640px-Newton-reciproka.svg.png,img,"Physics illustration","2025-07-02T11:30:00"
https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Healthy_life_expectancy_bar_chart_-world_-sex.png/640px-Healthy_life_expectancy_bar_chart_-world_-sex.png,img,"Biology chart","2025-07-03T09:15:00"
https://randomuser.me/api/portraits/women/1.jpg,img,"Profilbild von Anna","2025-07-04T08:30:00"
https://randomuser.me/api/portraits/men/2.jpg,img,"Profilbild von Thomas","2025-07-04T08:45:00"
https://randomuser.me/api/portraits/women/3.jpg,img,"Profilbild von Lisa","2025-07-04T09:00:00"
https://randomuser.me/api/portraits/men/4.jpg,img,"Profilbild von Max","2025-07-04T09:15:00"
https://randomuser.me/api/portraits/women/5.jpg,img,"Profilbild von Eva","2025-07-04T09:30:00"
https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Degrees_Graph_Isomorphism2.jpg/640px-Degrees_Graph_Isomorphism2.jpg,img,"Algebra graph","2025-07-01T10:15:00"
https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Third_Law_of_Newton.png/640px-Third_Law_of_Newton.png,img,"Newton's laws diagram","2025-07-02T11:00:00"
https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/DNA-structure-and-bases.png/640px-DNA-structure-and-bases.png,img,"DNA helix illustration","2025-07-03T09:45:00"
https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Plot_of_Lambert_W_function_of_x_exp_x.svg/640px-Plot_of_Lambert_W_function_of_x_exp_x.svg.png,img,"Function plot","2025-07-04T14:20:00"
https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Heat_transfer_in_heat_exchanger.jpg/640px-Heat_transfer_in_heat_exchanger.jpg,img,"Heat exchange process","2025-07-05T13:10:00"
https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Heat_transfer_in_heat_exchanger.jpg/640px-Heat_transfer_in_heat_exchanger.jpg,img,"Darstellung des Trägheitsgesetzes","2025-07-06T10:30:00"
https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/DNA_Diagram.png/640px-DNA_Diagram.png,img,"DNA-Basenpaarung","2025-07-06T10:45:00"
https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Isobaric_process.png/640px-Isobaric_process.png,img,"Isobare Zustandsänderung","2025-07-06T11:00:00"
https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Norfolk_District%2C_U._S._Army_Corps_of_Engineers_%28USACE%29_library_books_in_2024_-_7.jpg/640px-Norfolk_District%2C_U._S._Army_Corps_of_Engineers_%28USACE%29_library_books_in_2024_-_7.jpg,img,"Bücher","2025-07-06T11:00:00"
